"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","693.869545464558","692.210592593201","662.609321476135","666.902521911466","676.990459632355","691.601179824168","691.050894222362","689.911403199574","677.906238975739","668.633946608088","635.550217773356","621.510017966009","604.936501069868","628.094857041229","641.941011775843","626.086764059889","630.049517762709","639.893343761975","658.39785740852","659.121147320855","627.156239582265","635.046810144813","610.804236639906","613.049430088923","620.948652436034","608.762824499911","607.297809226803","597.786385354869","585.044145398047","587.648036459011","566.960723229114","579.816693062829","562.060699360646","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296.775482232088","304.427307369884","310.237100209838","307.131547892858","286.064396202547","282.983299671014","292.272238277625","299.030990047223","294.267060718761","298.153215833718","285.657322343808","289.237182398885","292.177320461456","296.980066862543","302.295886835961","312.334701917274","302.907262026617","300.302468319768","306.79657435129","295.423285524058","336.412979107051","359.064392844876","353.413958029407","356.913661271614","354.759851343277","336.978667905031","343.896337502189","332.429748033803","325.467766288687","341.666132517863","336.566406948633","350.102510019168","351.913061564233","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","506.098906826107","501.1013958861","487.66526325083","489.171805015051","480.041934528091","460.744687477655","455.930060729858","448.250287767476","429.96411434091","434.376831763019","428.222669261961","428.599480858479","429.424207435976","446.134132051678","433.557080102511","392.557802386847","422.909458684002","446.790005661844","472.064397001416","504.92416679274","487.281074343005","486.235365702241","531.24332255994","512.021802587495","447.160325436651","517.525209417242","462.934994006148","456.692217487614","405.179753107747","416.996507156148","397.633186643914","418.358996013843","423.122517600564","","",
"Albania","ALB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","813.373801291643","572.755207711702","418.273208912166","412.351824377392","441.348009597146","417.034611074232","447.838930515247","384.584954066613","426.818906731072","576.974269147942","581.374748988005","598.228317118281","661.11795163205","649.35788110735","716.623145884767","721.077407396492","707.890606549635","680.948166186712","712.287869024953","734.057809949862","731.053397459356","766.894617514824","699.444897699178","826.01838486232","844.590080017958","803.987448070775","840.619363568519","894.466399568989","904.739774695665","908.317252679183","855.185594249541","914.732925521475","884.57221529163","888.463855695385","",
"Andorra","AND","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1094.39525783586","1109.07252295464","1192.6390870588","1235.38502307195","1273.87226965872","1271.61538607375","1286.56202550333","1307.3988252336","1302.76025332885","1284.81696491306","1309.74545597546","1388.57722408896","1427.30356743639","1413.09141410784","1434.78995932043","1502.78098850234","1543.33388450494","1573.21507385738","1648.78209665742","1689.54663685973","1751.68699258111","1756.14584935149","1794.39801123927","1773.10893078631","1834.7635358316","1838.08041030076","1837.88924521527","1845.53833233154","1813.73691367158","1794.80105446141","1677.41911396716","1736.00525650969","1780.22285816424","","",
"United Arab Emirates","ARE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10740.8429217188","11690.0970198374","10562.8994380617","10572.6698308454","11178.3984813089","11360.9014709113","11250.1691193254","10941.7465226956","10375.285992572","9839.14403490257","8956.94929901911","11703.2751045514","10866.2518811768","10102.2168560285","9441.12715739602","9535.23423153349","9239.48012400956","8929.91291284475","9426.22252523971","9485.64696621464","8944.43348137498","8558.24529408267","8614.16881429917","8858.22242582428","9633.42212114175","10146.376786057","10355.5476088804","8521.13677246594","8482.30317231137","8816.50943614681","8154.35294132635","8674.22641438132","8335.80957162683","","",
"Argentina","ARG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1351.48277612519","1385.38307033103","1407.27675440761","1432.607502841","1530.52760849222","1507.19847475089","1534.09177637667","1567.39444751302","1648.11263598533","1666.81862190168","1643.32131961789","1518.56737304195","1484.25701881625","1590.61721067918","1740.90890259945","1712.4320350003","1784.01669776279","1845.91422802344","1889.40923801554","1722.74402909882","1826.05112368849","1865.25736115683","1897.60983922809","1928.54922885127","1911.61727736839","1919.75859208058","1889.87018853289","1874.82963739464","1806.77623499039","1777.41507710553","1623.92450833523","1741.51377200597","1808.76021335553","1832.06690004241","",
"Armenia","ARM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2170.25904717637","2248.45036449683","1156.52854495764","634.938401584258","409.762251524819","497.307222678528","543.248963246472","573.598498068918","591.114376781768","578.924652970815","625.503227341883","624.555471332605","586.440648432386","622.582881402385","661.929679898088","798.544180515189","818.274997390362","918.181612522836","973.21714524559","851.338387705143","815.62798698571","896.948023835655","982.442415313472","959.801682347684","1045.97511363021","1084.52062940136","1043.09797203416","1105.96696981707","1072.33682481147","1163.09284675689","1233.30455891532","1271.52805556324","1347.59055747413","","",
"American Samoa","ASM","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567.0489962896","","","","","","","","","","","","","","1714.96080996964","1720.86771928502","1774.10550344896","1786.93821599922","","","","","","","","","","","","","","","","","",
"Australia","AUS","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5047.63880316716","4925.05735551339","4960.57443467868","5171.29276055127","5127.43388651941","5138.24234027092","5429.944199086","5497.64639169812","5584.82787538452","5644.57987814369","5681.22885913159","5486.39455905443","5480.23464289818","5615.57675632995","5652.13037917952","5624.49561264785","5775.11675226564","5853.76413229662","5951.19291532561","5843.93312947132","5762.9435664152","5698.65597309349","5533.72233837943","5533.38146350965","5407.4382264583","5318.66679266228","5216.98867184459","5162.45894302308","5086.37378454852","5231.57466031316","5159.03638381788","5006.44306522882","4942.16372202842","4927.64894813822","",
"Austria","AUT","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3240.45366951149","3415.50428957491","3245.8963821747","3256.11678131379","3234.79392759607","3374.07611625172","3580.79320121771","3550.91398526082","3607.0067907444","3592.17196845349","3570.94853169443","3758.79316326234","3771.71949185232","3956.93894640762","3974.50636807099","4084.35261902051","4105.07525027388","4010.09514877294","4027.90556617748","3819.49986886808","4065.04189639106","3927.58256477323","3899.1648418957","3924.82135403554","3750.34480080041","3795.51037374619","3797.16802222945","3839.94805232106","3717.62532112148","3765.98011899602","3546.50449865153","3728.13398931398","3486.72943293763","3308.71167042411","",
"Azerbaijan","AZE","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3158.92272825814","3088.31328029663","2464.93313825551","2175.6175329618","1948.0597753184","1809.44915921154","1513.85470497375","1444.49013087356","1485.30877090791","1369.28240914717","1403.59874667104","1411.21434888717","1414.77602454642","1476.84102371293","1539.50003907972","1600.22780340266","1559.84917576741","1459.38898151201","1587.24837009442","1391.33099195543","1305.91209278641","1396.04478051641","1497.29486664714","1497.90257470252","1526.15877863995","1510.91856857889","1480.9342834589","1478.78418442924","1471.37027563956","1587.78477584687","1536.83056349558","1623.82932438235","1714.03725982832","1732.19739502846","",
"Burundi","BDI","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4804.34618527299","5002.44922314732","5042.29401936772","4897.97659266192","5185.9337354394","5261.8093544142","5527.62586906518","5533.73928264128","5620.64607760812","5610.79882111599","5662.98174716427","5606.17298271092","5397.64817804299","5609.48271408916","5615.40613034968","5549.63760862596","5445.56547084695","5302.04532963844","5425.00683224834","5161.34227289199","5510.36842215322","5063.16739563614","4822.68880223172","5000.34617077523","4701.25771608477","4661.66376202285","4904.15770755315","4863.63280171736","4660.20692893781","4775.95747475268","4386.43050829817","4823.5834216252","4368.44562567427","4051.07409072709","",
"Benin","BEN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314.609436799463","309.709863805906","307.698007930126","301.262670850293","296.5110317345","296.679128573565","336.540298422814","339.005955567862","324.253310224769","327.943290924178","274.581436432907","283.230273372813","294.724145806201","301.499151686105","305.279536303894","296.647429948477","339.270972775752","358.123373575729","355.191568797727","361.653717680842","363.74357481978","352.901249030589","346.220822053438","366.743087755895","367.294184971858","379.492026672934","409.038821084068","412.304352119196","423.283323822533","414.543641080217","426.185478700943","376.055295296953","375.820983649337","","",
"Burkina Faso","BFA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.693031083803","173.933403371987","174.239170181508","176.296720313514","173.37906285031","173.276562601483","162.026532515962","162.131858709877","160.958600981487","120.294478166027","122.87633161526","138.808404306933","140.366660183959","145.412202886927","149.202025520624","152.454065294215","160.051947053493","167.380496993818","168.80031087063","171.44988829824","227.93902505697","235.67491386243","249.069045065321","258.229706435665","264.949904576004","279.219982120516","271.615575346763","285.313799439353","299.913437292717","302.330693379864","263.88298802906","303.171853475007","312.929085804227","","",
"Bangladesh","BGD","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.23933585512","110.466567421503","114.342298793574","117.010113116711","121.494605858892","128.845088533536","127.58062045112","130.68749269677","132.229468311487","134.80626588897","135.945727032601","148.255373268618","147.979643675058","153.143093984627","154.242895346549","159.825599702335","168.32467252269","174.011519357534","180.396452212736","187.659357547152","195.590116597033","200.299626883527","208.040539602777","218.935059190067","224.107149946033","237.713163558492","255.923548835134","260.880286120411","257.873889464682","273.340023331257","272.076572071717","292.487219529267","297.118356342706","","",
"Bulgaria","BGR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3216.70760064006","2593.62279780229","2394.69457031165","2588.55746644791","2518.11325421164","2745.16022347993","2745.50259738071","2505.6718035438","2437.14753376962","2230.75876662596","2276.85216577279","2419.77111113907","2410.06924541046","2489.50818804189","2439.63673677668","2599.1917342682","2696.78264240444","2665.00511750437","2647.46208110447","2337.23945196707","2393.89142256038","2592.51617710519","2493.07808043547","2353.30761322829","2499.7069748767","2637.50353455494","2606.61053390992","2732.22244053467","2764.27513129547","2771.124202737","2664.55152991688","2918.91641380678","2968.65663426552","2604.19104505407","",
"Bahrain","BHR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10576.1375209895","10671.794495852","11504.983995158","11627.9853884558","12068.5698908927","11537.6005741003","11566.1634942483","12331.2457338806","12558.2438388176","12575.7861396596","12833.272118279","12648.0885082095","12214.6865774264","11894.9484733033","11271.2138903395","11975.4282360997","11582.0205666291","11533.9934710843","11593.7971674415","10432.8967547383","10317.976004905","10624.3872166304","9996.52196196405","11219.433931134","10257.0253426946","10405.6390717453","9878.66504979139","9444.4239393348","9533.85538285247","10388.189018559","10832.91852134","10666.0574068433","10701.7927575092","","",
"Bahamas, The","BHS","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2338.57233506677","","","","","","","","","","","","","","1954.1941597848","2023.87945122625","2026.55184786509","2006.59998754719","","","","","","","","","","","","","","","","","",
